Rep;RowBlk;ColBlk;Row;Column;Variety;yield
re1;rb1;cb1;ro1;co1;va01;1003
re1;rb1;cb2;ro1;co2;va02;1356
re1;rb1;cb3;ro1;co3;va04;1412
re1;rb1;cb4;ro1;co4;va03;1239
re1;rb1;cb5;ro1;co5;va05;1508
re2;rb11;cb6;ro1;co6;va19;1967
re2;rb11;cb7;ro1;co7;va23;1572
re2;rb11;cb8;ro1;co8;va02;1969
re2;rb11;cb9;ro1;co9;va06;1747
re2;rb11;cb10;ro1;co10;va15;1598
re3;rb21;cb11;ro1;co11;va18;1630
re3;rb21;cb12;ro1;co12;va25;1633
re3;rb21;cb13;ro1;co13;va09;1255
re3;rb21;cb14;ro1;co14;va11;1277
re3;rb21;cb15;ro1;co15;va02;1572
re1;rb2;cb1;ro2;co1;va06;1531
re1;rb2;cb2;ro2;co2;va07;1540
re1;rb2;cb3;ro2;co3;va09;1250
re1;rb2;cb4;ro2;co4;va08;1658
re1;rb2;cb5;ro2;co5;va10;1185
re2;rb12;cb6;ro2;co6;va08;1605
re2;rb12;cb7;ro2;co7;va12;1550
re2;rb12;cb8;ro2;co8;va16;1500
re2;rb12;cb9;ro2;co9;va25;1642
re2;rb12;cb10;ro2;co10;va04;1504
re3;rb22;cb11;ro2;co11;va05;1680
re3;rb22;cb12;ro2;co12;va07;1526
re3;rb22;cb13;ro2;co13;va16;1452
re3;rb22;cb14;ro2;co14;va23;1480
re3;rb22;cb15;ro2;co15;va14;1482
re1;rb3;cb1;ro3;co1;va21;1126
re1;rb3;cb2;ro3;co2;va22;1400
re1;rb3;cb3;ro3;co3;va24;1329
re1;rb3;cb4;ro3;co4;va23;1287
re1;rb3;cb5;ro3;co5;va25;1555
re2;rb13;cb6;ro3;co6;va11;1395
re2;rb13;cb7;ro3;co7;va20;1696
re2;rb13;cb8;ro3;co8;va24;1570
re2;rb13;cb9;ro3;co9;va03;1404
re2;rb13;cb10;ro3;co10;va07;1285
re3;rb23;cb11;ro3;co11;va06;1473
re3;rb23;cb12;ro3;co12;va13;1761
re3;rb23;cb13;ro3;co13;va22;1695
re3;rb23;cb14;ro3;co14;va04;1364
re3;rb23;cb15;ro3;co15;va20;1790
re1;rb4;cb1;ro4;co1;va11;1261
re1;rb4;cb2;ro4;co2;va12;1423
re1;rb4;cb3;ro4;co3;va14;1110
re1;rb4;cb4;ro4;co4;va13;1735
re1;rb4;cb5;ro4;co5;va15;1617
re2;rb14;cb6;ro4;co6;va22;1820
re2;rb14;cb7;ro4;co7;va01;1351
re2;rb14;cb8;ro4;co8;va10;1297
re2;rb14;cb9;ro4;co9;va14;1412
re2;rb14;cb10;ro4;co10;va18;1506
re3;rb24;cb11;ro4;co11;va24;1512
re3;rb24;cb12;ro4;co12;va01;1355
re3;rb24;cb13;ro4;co13;va15;1524
re3;rb24;cb14;ro4;co14;va17;1478
re3;rb24;cb15;ro4;co15;va08;1371
re1;rb5;cb1;ro5;co1;va16;1458
re1;rb5;cb2;ro5;co2;va17;2036
re1;rb5;cb3;ro5;co3;va19;2119
re1;rb5;cb4;ro5;co4;va18;1912
re1;rb5;cb5;ro5;co5;va20;1893
re2;rb15;cb6;ro5;co6;va05;1748
re2;rb15;cb7;ro5;co7;va09;1450
re2;rb15;cb8;ro5;co8;va13;1740
re2;rb15;cb9;ro5;co9;va17;1450
re2;rb15;cb10;ro5;co10;va21;1523
re3;rb25;cb11;ro5;co11;va12;1364
re3;rb25;cb12;ro5;co12;va19;1690
re3;rb25;cb13;ro5;co13;va03;1334
re3;rb25;cb14;ro5;co14;va10;1239
re3;rb25;cb15;ro5;co15;va21;1557
re4;rb6;cb16;ro6;co1;va03;1623
re4;rb6;cb17;ro6;co2;va18;1862
re4;rb6;cb18;ro6;co3;va08;1645
re4;rb6;cb19;ro6;co4;va13;1888
re4;rb6;cb20;ro6;co5;va23;1527
re5;rb16;cb21;ro6;co6;va16;1606
re5;rb16;cb22;ro6;co7;va24;1842
re5;rb16;cb23;ro6;co8;va10;1186
re5;rb16;cb24;ro6;co9;va13;1462
re5;rb16;cb25;ro6;co10;va02;1242
re6;rb26;cb26;ro6;co11;va10;1082
re6;rb26;cb27;ro6;co12;va04;1304
re6;rb26;cb28;ro6;co13;va17;1267
re6;rb26;cb29;ro6;co14;va11;1266
re6;rb26;cb30;ro6;co15;va23;1200
re4;rb7;cb16;ro7;co1;va01;1331
re4;rb7;cb17;ro7;co2;va16;1417
re4;rb7;cb18;ro7;co3;va06;1611
re4;rb7;cb19;ro7;co4;va11;1454
re4;rb7;cb20;ro7;co5;va21;1790
re5;rb17;cb21;ro7;co6;va12;1767
re5;rb17;cb22;ro7;co7;va20;1917
re5;rb17;cb23;ro7;co8;va01;1264
re5;rb17;cb24;ro7;co9;va09;1060
re5;rb17;cb25;ro7;co10;va23;951
re6;rb27;cb26;ro7;co11;va12;1130
re6;rb27;cb27;ro7;co12;va06;1266
re6;rb27;cb28;ro7;co13;va24;1289
re6;rb27;cb29;ro7;co14;va18;1260
re6;rb27;cb30;ro7;co15;va05;1174
re4;rb8;cb16;ro8;co1;va05;1211
re4;rb8;cb17;ro8;co2;va20;1411
re4;rb8;cb18;ro8;co3;va10;1183
re4;rb8;cb19;ro8;co4;va15;1550
re4;rb8;cb20;ro8;co5;va25;1660
re5;rb18;cb21;ro8;co6;va04;1526
re5;rb18;cb22;ro8;co7;va07;1681
re5;rb18;cb23;ro8;co8;va18;1545
re5;rb18;cb24;ro8;co9;va21;1290
re5;rb18;cb25;ro8;co10;va15;976
re6;rb28;cb26;ro8;co11;va19;1240
re6;rb28;cb27;ro8;co12;va13;1181
re6;rb28;cb28;ro8;co13;va01;917
re6;rb28;cb29;ro8;co14;va25;1287
re6;rb28;cb30;ro8;co15;va07;975
re4;rb9;cb16;ro9;co1;va02;1388
re4;rb9;cb17;ro9;co2;va17;1453
re4;rb9;cb18;ro9;co3;va07;1384
re4;rb9;cb19;ro9;co4;va12;1669
re4;rb9;cb20;ro9;co5;va22;1738
re5;rb19;cb21;ro9;co6;va25;1845
re5;rb19;cb22;ro9;co7;va03;1700
re5;rb19;cb23;ro9;co8;va14;1528
re5;rb19;cb24;ro9;co9;va17;1373
re5;rb19;cb25;ro9;co10;va06;1240
re6;rb29;cb26;ro9;co11;va21;1252
re6;rb29;cb27;ro9;co12;va20;1591
re6;rb29;cb28;ro9;co13;va08;1428
re6;rb29;cb29;ro9;co14;va02;1509
re6;rb29;cb30;ro9;co15;va14;1273
re4;rb10;cb16;ro10;co1;va04;1443
re4;rb10;cb17;ro10;co2;va19;1667
re4;rb10;cb18;ro10;co3;va09;1549
re4;rb10;cb19;ro10;co4;va14;1459
re4;rb10;cb20;ro10;co5;va24;1722
re5;rb20;cb21;ro10;co6;va08;1583
re5;rb20;cb22;ro10;co7;va11;1490
