weight;Time;Chick;Diet
42;0;c15;d1
51;2;c15;d1
59;4;c15;d1
64;6;c15;d1
76;8;c15;d1
93;10;c15;d1
106;12;c15;d1
125;14;c15;d1
149;16;c15;d1
171;18;c15;d1
199;20;c15;d1
205;21;c15;d1
40;0;c17;d1
49;2;c17;d1
58;4;c17;d1
72;6;c17;d1
84;8;c17;d1
103;10;c17;d1
122;12;c17;d1
138;14;c17;d1
162;16;c17;d1
187;18;c17;d1
209;20;c17;d1
215;21;c17;d1
43;0;c14;d1
39;2;c14;d1
55;4;c14;d1
67;6;c14;d1
84;8;c14;d1
99;10;c14;d1
115;12;c14;d1
138;14;c14;d1
163;16;c14;d1
187;18;c14;d1
198;20;c14;d1
202;21;c14;d1
42;0;c11;d1
49;2;c11;d1
56;4;c11;d1
67;6;c11;d1
74;8;c11;d1
87;10;c11;d1
102;12;c11;d1
108;14;c11;d1
136;16;c11;d1
154;18;c11;d1
160;20;c11;d1
157;21;c11;d1
41;0;c18;d1
42;2;c18;d1
48;4;c18;d1
60;6;c18;d1
79;8;c18;d1
106;10;c18;d1
141;12;c18;d1
164;14;c18;d1
197;16;c18;d1
199;18;c18;d1
220;20;c18;d1
223;21;c18;d1
41;0;c12;d1
49;2;c12;d1
59;4;c12;d1
74;6;c12;d1
97;8;c12;d1
124;10;c12;d1
141;12;c12;d1
148;14;c12;d1
155;16;c12;d1
160;18;c12;d1
160;20;c12;d1
157;21;c12;d1
41;0;c20;d1
49;2;c20;d1
57;4;c20;d1
71;6;c20;d1
89;8;c20;d1
112;10;c20;d1
146;12;c20;d1
174;14;c20;d1
218;16;c20;d1
250;18;c20;d1
288;20;c20;d1
305;21;c20;d1
42;0;c08;d1
50;2;c08;d1
61;4;c08;d1
71;6;c08;d1
84;8;c08;d1
93;10;c08;d1
110;12;c08;d1
116;14;c08;d1
126;16;c08;d1
134;18;c08;d1
125;20;c08;d1
42;0;c05;d1
51;2;c05;d1
59;4;c05;d1
68;6;c05;d1
85;8;c05;d1
96;10;c05;d1
90;12;c05;d1
92;14;c05;d1
93;16;c05;d1
100;18;c05;d1
100;20;c05;d1
98;21;c05;d1
41;0;c07;d1
44;2;c07;d1
52;4;c07;d1
63;6;c07;d1
74;8;c07;d1
81;10;c07;d1
89;12;c07;d1
96;14;c07;d1
101;16;c07;d1
112;18;c07;d1
120;20;c07;d1
124;21;c07;d1
43;0;c13;d1
51;2;c13;d1
63;4;c13;d1
84;6;c13;d1
112;8;c13;d1
139;10;c13;d1
168;12;c13;d1
177;14;c13;d1
182;16;c13;d1
184;18;c13;d1
181;20;c13;d1
175;21;c13;d1
41;0;c16;d1
49;2;c16;d1
56;4;c16;d1
