"loc","year","plot","gen","rep","trt","DHE","DMA","PLH","GYLD","TKW"
"Holetta","y2005","p1","EH1877","r1","t6",73,124,107,3821,47.7
"Holetta","y2005","p2","EH1505","r1","t3",73,125,107,3120,47.4
"Holetta","y2005","p3","EH1900","r1","t2",70,120,123,4175,46.4
"Holetta","y2005","p4","IBON2796","r1","t11",73,122,100,3980,54.3
"Holetta","y2005","p5","EH1869","r1","t7",78,127,117,3895,50.3
"Holetta","y2005","p6","EH1893","r1","t4",76,121,120,3880,42.8
"Holetta","y2005","p7","EH1864","r1","t10",77,125,118,3605,51.9
"Holetta","y2005","p8","EH1847","r1","t1",73,120,122,4460,51
"Holetta","y2005","p9","IBON4499","r1","t5",70,123,103,2760,49.8
"Holetta","y2005","p10","F2SXS13395","r1","t12",73,125,115,3880,53.6
"Holetta","y2005","p11","Beka","r1","t15",78,128,140,3525,41.1
"Holetta","y2005","p12","HB120","r1","t14",78,131,135,3595,42.1
"Holetta","y2005","p13","EH1551","r1","t8",70,127,112,3780,61.4
"Holetta","y2005","p14","BNEth019","r1","t13",70,121,108,3575,48.1
"Holetta","y2005","p15","EH18472","r1","t9",78,129,128,1225,49.4
"Holetta","y2005","p16","EH1893","r2","t4",78,130,120,3375,40.9
"Holetta","y2005","p17","Beka","r2","t15",80,129,127,2535,39.6
"Holetta","y2005","p18","BNEth019","r2","t13",70,120,113,2045,44.1
"Holetta","y2005","p19","IBON4499","r2","t5",75,125,108,2365,56.2
"Holetta","y2005","p20","EH18472","r2","t9",75,124,130,3125,44.6
"Holetta","y2005","p21","HB120","r2","t14",76,129,135,2775,41.1
"Holetta","y2005","p22","EH1864","r2","t10",79,123,107,2705,52.5
"Holetta","y2005","p23","EH1877","r2","t6",75,121,107,2540,49.4
"Holetta","y2005","p24","EH1869","r2","t7",80,129,123,2060,39.7
"Holetta","y2005","p25","F2SXS13395","r2","t12",75,129,125,4100,53.1
"Holetta","y2005","p26","EH1900","r2","t2",73,123,127,4430,53.1
"Holetta","y2005","p27","IBON2796","r2","t11",75,123,110,4475,54.9
"Holetta","y2005","p28","EH1505","r2","t3",75,123,117,3640,45.9
"Holetta","y2005","p29","EH1847","r2","t1",75,123,123,4385,42.7
"Holetta","y2005","p30","EH1551","r2","t8",73,127,120,4830,64.6
"Holetta","y2005","p31","IBON2796","r3","t11",73,121,122,2520,54.1
"Holetta","y2005","p32","EH18472","r3","t9",79,123,113,2245,40.1
"Holetta","y2005","p33","BNEth019","r3","t13",75,123,110,3260,42.5
"Holetta","y2005","p34","IBON4499","r3","t5",75,125,127,4570,56
"Holetta","y2005","p35","EH1847","r3","t1",75,121,105,3445,45.5
"Holetta","y2005","p36","EH1864","r3","t10",78,129,118,1310,50.9
"Holetta","y2005","p37","EH1869","r3","t7",80,129,123,3025,38.8
"Holetta","y2005","p38","EH1551","r3","t8",73,128,130,3120,61.6
"Holetta","y2005","p39","EH1893","r3","t4",80,129,133,3295,41.3
"Holetta","y2005","p40","Beka","r3","t15",80,125,113,1955,41.7
"Holetta","y2005","p41","EH1877","r3","t6",73,123,110,3055,45.5
"Holetta","y2005","p42","EH1505","r3","t3",75,127,113,2055,45.1
"Holetta","y2005","p43","EH1900","r3","t2",75,125,117,3623,47
"Holetta","y2005","p44","F2SXS13395","r3","t12",75,129,122,3510,51.3
"Holetta","y2005","p45","HB120","r3","t14",78,133,133,4270,44.5
"Holetta","y2005","p46","EH1551","r4","t8",75,128,113,4600,67.1
"Holetta","y2005","p47","IBON2796","r4","t11",75,127,110,3880,55.1
"Holetta","y2005","p48","BNEth019","r4","t13",73,124,112,3180,42.4
"Holetta","y2005","p49","EH1900","r4","t2",73,129,130,3475,45.9
"Holetta","y2005","p50","EH18472","r4","t9",80,125,130,2500,44.2
"Holetta","y2005","p51","Beka","r4","t15",80,129,125,2685,41.9
"Holetta","y2005","p52","HB120","r4","t14",80,129,125,2165,42.1
"Holetta","y2005","p53","EH1877","r4","t6",75,123,117,3205,50
"Holetta","y2005","p54","EH1869","r4","t7",81,125,122,3180,45.8
"Holetta","y2005","p55","EH1893","r4","t4",80,129,123,3165,43.1
"Holetta","y2005","p56","EH1864","r4","t10",80,130,118,2825,47.3
"Holetta","y2005","p57","IBON4499","r4","t5",73,128,102,3125,58.3
"Holetta","y2005","p58","F2SXS13395","r4","t12",75,130,115,3975,52.6
"Holetta","y2005","p59","EH1505","r4","t3",76,125,115,4275,48.7
"Holetta","y2005","p60","EH1847","r4","t1",75,127,123,3945,46.5
"Adet","y2005","p1","EH1877","r1","t6",64,99,89,2700,47.1
"Adet","y2005","p2","EH1505","r1","t3",67,101,88,2950,49.5
"Adet","y2005","p3","EH1900","r1","t2",65,96,96,2970,46.3
"Adet","y2005","p4","IBON2796","r1","t11",50,92,76,3025,52
"Adet","y2005","p5","EH1869","r1","t7",65,101,92,2210,45.9
"Adet","y2005","p6","EH1893","r1","t4",69,102,85,2550,39.2
"Adet","y2005","p7","EH1864","r1","t10",69,97,78,2215,35.9
"Adet","y2005","p8","EH1847","r1","t1",63,97,90,2925,46
"Adet","y2005","p9","IBON4499","r1","t5",64,99,59,2320,48
"Adet","y2005","p10","F2SXS13395","r1","t12",64,102,82,2490,44.5
"Adet","y2005","p11","Beka","r1","t15",71,102,104,2260,37
"Adet","y2005","p12","HB120","r1","t14",70,97,94,2200,34.2
"Adet","y2005","p13","EH1551","r1","t8",60,97,82,2980,60
"Adet","y2005","p14","BNEth019","r1","t13",63,97,77,2435,46.4
"Adet","y2005","p15","EH18472","r1","t9",69,102,107,2525,42.8
"Adet","y2005","p16","EH1893","r2","t4",69,102,94,2760,38.1
"Adet","y2005","p17","Beka","r2","t15",74,102,100,1630,37.6
"Adet","y2005","p18","BNEth019","r2","t13",60,94,80,2625,47.1
"Adet","y2005","p19","IBON4499","r2","t5",64,94,63,1695,44
"Adet","y2005","p20","EH18472","r2","t9",74,102,96,1385,38.1
"Adet","y2005","p21","HB120","r2","t14",71,102,95,1410,36.5
"Adet","y2005","p22","EH1864","r2","t10",69,102,54,1255,41.1
"Adet","y2005","p23","EH1877","r2","t6",63,96,74,3030,45.4
"Adet","y2005","p24","EH1869","r2","t7",69,102,95,1540,39.8
"Adet","y2005","p25","F2SXS13395","r2","t12",65,94,92,2480,47.1
"Adet","y2005","p26","EH1900","r2","t2",64,96,92,2575,45
"Adet","y2005","p27","IBON2796","r2","t11",55,94,74,2830,49.1
"Adet","y2005","p28","EH1505","r2","t3",67,102,88,2645,52.7
"Adet","y2005","p29","EH1847","r2","t1",63,94,99,2840,45.8
"Adet","y2005","p30","EH1551","r2","t8",57,94,87,3325,59.7
"Adet","y2005","p31","IBON2796","r3","t11",54,94,69,2770,53.8
"Adet","y2005","p32","EH18472","r3","t9",65,101,98,2230,45.1
